Kode Pesanan,Status Pesanan,Status Terverifikasi,Waktu Pesanan,Waktu Pesanan Selesai,Waktu Pesanan Terverifikasi,Kode Produk,Nama Produk,ID Model,L1 Kategori Global,L2 Kategori Global,L3 Kategori Global,Kode Promo,Harga(Rp),Jumlah,Nama Affiliate,Username Affiliate,MCN Terhubung,ID Komisi Pesanan,Partner Promo,Jenis Promo,Nilai Pembelian(Rp),Jumlah Pengembalian(Rp),Tipe Pesanan,Estimasi Komisi per Produk(Rp),Estimasi Komisi Affiliate per Produk(Rp),Persentase Komisi Affiliate per Produk,Estimasi Komisi MCN per Produk(Rp),Persentase Komisi MCN per Produk,Estimasi Komisi per Pesanan(Rp),Estimasi Komisi Affiliate per Pesanan(Rp),Estimasi Komisi MCN per Pesanan(Rp),Catatan Produk,Platform,Tingkat Komisi,Pengeluaran(Rp),Status Pemotongan,Metode Pemotongan,Waktu Pemotongan
250612CQWR2QYH,Sedang Diproses,Sah,2025-06-12 21:33:31,,,28168331260,TaffPACK Tape Lakban PTFE Heat High Temperature Adhesive 10M - TF10M,247081158579,Perlengkapan Rumah,Alat Pertukangan & Renovasi Rumah,Perekat & Tape,,14800,1,xtend1234,xtend1234,,79104157,,Komisi Produk Penjual,14300,0,Pesanan Tidak Langsung,0,0,10%,0,0%,0,0,0,Status produk ini sedang ditinjau. Komisi hanya akan dibayarkan ketika pesanan selesai.,Others,10%,0,,,
250612CQ396G9M,Sedang Diproses,Sah,2025-06-12 21:18:43,,,26957393804,TaffLED Lampu Tidur LED EU Plug Sensor Cahaya Cool White 250V 0.5W - L200,215296748937,Perlengkapan Rumah,Lampu,,,13500,1,Kacamata,barangalus,,79104187,,Komisi Produk Penjual,13000,0,Pesanan Tidak Langsung,0,0,6%,0,0%,0,0,0,Status produk ini sedang ditinjau. Komisi hanya akan dibayarkan ketika pesanan selesai.,Instagram,6%,0,,,
250612CNVQ407X,Sedang Diproses,Sah,2025-06-12 20:57:09,,,26006118256,Aswei Cetakan Kotak Penyimpanan Es Batu Jelly Kotak Double Layer 48 Grid Quick Press Dengan Tutup dan Pegangan,187669090673,Perlengkapan Rumah,Perlengkapan Dapur,Perlengkapan Dapur Lainnya,,96000,1,Si Kecil,sikecil2306,,79104175,,Komisi Produk Penjual,95500,0,Pesanan Langsung,6685,6685,7%,0,0%,6685,6685,0,Status produk ini sedang ditinjau. Komisi hanya akan dibayarkan ketika pesanan selesai.,Shopeevideo-Shopee,7%,7420,Menunggu Pemotongan,,
250612CMPS3BDM,Sedang Diproses,Sah,2025-06-12 20:35:56,,,29368194067,FJUN Jas Hujan Portable Raincoat Transparent Poncho with Hood,197992596476,Olahraga & Outdoor,Aksesoris Olahraga & Aktivitas Outdoor,Jas Hujan,,98300,1,Ai_juragan Tanahabang,fadlyfsl_,,79104130,,Komisi Produk Penjual,97800,0,Pesanan Tidak Langsung,0,0,6%,0,0%,0,0,0,Status produk ini sedang ditinjau. Komisi hanya akan dibayarkan ketika pesanan selesai.,Instagram,6%,0,,,
250612CMHGAPKF,Sedang Diproses,Sah,2025-06-12 20:32:59,,,26957393804,TaffLED Lampu Tidur LED EU Plug Sensor Cahaya Cool White 250V 0.5W - L200,195967376231,Perlengkapan Rumah,Lampu,,,13200,2,Opera Norway,opear.adx,,79104187,,Komisi Produk Penjual,23971,0,Pesanan Tidak Langsung,0,0,6%,0,0%,0,0,0,Status produk ini sedang ditinjau. Komisi hanya akan dibayarkan ketika pesanan selesai.,Others,6%,0,,,
250612CDYPG47X,Sedang Diproses,Sah,2025-06-12 18:35:39,,,26957393804,TaffLED Lampu Tidur LED EU Plug Sensor Cahaya Cool White 250V 0.5W - L200,215296748937,Perlengkapan Rumah,Lampu,,,13500,1,Lewinashop,yessi704pandiangan,,79104187,,Komisi Produk Penjual,6750,0,Pesanan Langsung,405,405,6%,0,0%,405,405,0,Status produk ini sedang ditinjau. Komisi hanya akan dibayarkan ketika pesanan selesai.,Shopeevideo-Shopee,6%,450,Menunggu Pemotongan,,
250612C85FUPJ6,Sedang Diproses,Sah,2025-06-12 16:51:31,,,28555948012,Tas Pendingin Pemanas Makanan Cooler Heater Bag Thermal Insulated Bag,233023801710,Perlengkapan Rumah,Perlengkapan Dapur,Tempat Penyimpanan Makanan,,23800,1,platformrevinc,platformrevinc,,79104118,,Komisi Produk Penjual,22407,0,Pesanan Tidak Langsung,0,0,6%,0,0%,0,0,0,Status produk ini sedang ditinjau. Komisi hanya akan dibayarkan ketika pesanan selesai.,Others,6%,0,,,
250612C85FUPJ6,Sedang Diproses,Sah,2025-06-12 16:51:31,,,24584336611,TaffHOME Mini Timer Masak Digital Dapur Kitchen Stopwatch - 704AAB,168340399927,Perlengkapan Rumah,Perlengkapan Dapur,Perlengkapan Dapur Lainnya,,15300,1,platformrevinc,platformrevinc,,79104540,,Komisi Produk Penjual,14407,0,Pesanan Tidak Langsung,0,0,6%,0,0%,0,0,0,Status produk ini sedang ditinjau. Komisi hanya akan dibayarkan ketika pesanan selesai.,Others,6%,0,,,
250612C85FUPJ6,Sedang Diproses,Sah,2025-06-12 16:51:31,,,24684332520,TaffHOME Timer Masak Dapur Magnetic Stopwatch Kitchen Timer - JS-113,147404904208,Perlengkapan Rumah,Perlengkapan Dapur,Perlengkapan Dapur Lainnya,,16900,1,platformrevinc,platformrevinc,,79104536,,Komisi Produk Penjual,15911,0,Pesanan Tidak Langsung,0,0,6%,0,0%,0,0,0,Status produk ini sedang ditinjau. Komisi hanya akan dibayarkan ketika pesanan selesai.,Others,6%,0,,,
250612C71NK35V,Sedang Diproses,Sah,2025-06-12 16:31:29,,,26957393804,TaffLED Lampu Tidur LED EU Plug Sensor Cahaya Cool White 250V 0.5W - L200,215296748937,Perlengkapan Rumah,Lampu,,,13500,1,brebet.id,hasna.widiawati,,79104187,,Komisi Produk Penjual,13000,0,Pesanan Langsung,780,780,6%,0,0%,780,780,0,Status produk ini sedang ditinjau. Komisi hanya akan dibayarkan ketika pesanan selesai.,Shopeelive-Shopee,6%,866,Menunggu Pemotongan,,
250612C3N3AXTS,Sedang Diproses,Sah,2025-06-12 15:30:46,,,28555948012,Tas Pendingin Pemanas Makanan Cooler Heater Bag Thermal Insulated Bag,233023801710,Perlengkapan Rumah,Perlengkapan Dapur,Tempat Penyimpanan Makanan,,23800,1,Abdul Rohman,shaka0905,,79104118,,Komisi Produk Penjual,23300,0,Pesanan Tidak Langsung,0,0,6%,0,0%,0,0,0,Status produk ini sedang ditinjau. Komisi hanya akan dibayarkan ketika pesanan selesai.,WhatsApp,6%,0,,,
